"MSSubClass","MSZoning","LotArea","LotShape","LandContour","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","PavedDrive","MoSold","YrSold","SalePrice"
60,"RL",8450,"Reg","Lvl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,3,8,"Typ",0,"Attchd",2,548,"TA","Y",2,2008,208500
20,"RL",9600,"Reg","Lvl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","CBlock",3,"TA","ALQ","Unf",284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,4,6,"Typ",1,"Attchd",2,460,"TA","Y",5,2007,181500
60,"RL",11250,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,3,6,"Typ",1,"Attchd",2,608,"TA","Y",9,2008,223500
70,"RL",9550,"IR1","Lvl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",4,"TA","BrkTil",4,"Gd","ALQ","Unf",540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,3,7,"Typ",1,"Detchd",3,642,"TA","Y",2,2006,140000
60,"RL",14260,"IR1","Lvl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","GLQ","Unf",490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,3,9,"Typ",1,"Attchd",3,836,"TA","Y",12,2008,250000
50,"RL",14115,"IR1","Lvl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","Wood",3,"TA","GLQ","Unf",64,796,"GasA","Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,4,5,"Typ",0,"Attchd",2,480,"TA","Y",10,2009,143000
20,"RL",10084,"Reg","Lvl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",1,"TA","GLQ","Unf",317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,3,7,"Typ",1,"Attchd",2,636,"TA","Y",8,2007,307000
60,"RL",10382,"IR1","Lvl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",4,"TA","CBlock",3,"TA","ALQ","BLQ",216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,4,7,"Typ",2,"Attchd",2,484,"TA","Y",11,2009,200000
50,"RM",6120,"Reg","Lvl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",4,"TA","BrkTil",4,"TA","Unf","Unf",952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,4,8,"Min1",2,"Detchd",2,468,"Fa","Y",4,2008,129900
190,"RL",7420,"Reg","Lvl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"TA","GLQ","Unf",140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,4,5,"Typ",2,"Attchd",1,205,"Gd","Y",1,2008,118000
20,"RL",11200,"Reg","Lvl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",4,"TA","CBlock",4,"TA","Rec","Unf",134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,4,5,"Typ",0,"Detchd",1,384,"TA","Y",2,2008,129500
60,"RL",11924,"IR1","Lvl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",1,"TA","PConc",1,"TA","GLQ","Unf",177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,1,11,"Typ",2,"BuiltIn",3,736,"TA","Y",7,2006,345000
20,"RL",12968,"IR2","Lvl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",4,"TA","CBlock",4,"TA","ALQ","Unf",175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,4,4,"Typ",0,"Detchd",1,352,"TA","Y",9,2008,144000
20,"RL",10652,"IR1","Lvl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",3,"TA","Unf","Unf",1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,3,7,"Typ",1,"Attchd",3,840,"TA","Y",8,2007,279500
20,"RL",10920,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",4,"TA","CBlock",4,"TA","BLQ","Unf",520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,4,5,"Typ",1,"Attchd",1,352,"TA","Y",5,2008,157000
45,"RM",6120,"Reg","Lvl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","BrkTil",4,"TA","Unf","Unf",832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,4,5,"Typ",0,"Detchd",2,576,"TA","Y",7,2007,132000
20,"RL",11241,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",4,"TA","CBlock",4,"TA","ALQ","Unf",426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,4,5,"Typ",1,"Attchd",2,480,"TA","Y",3,2010,149000
90,"RL",10791,"Reg","Lvl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","Slab",3.26141953619115,NA,NA,NA,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,4,6,"Typ",0,"CarPort",2,516,"TA","Y",10,2006,90000
20,"RL",13695,"Reg","Lvl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",4,"TA","PConc",4,"TA","GLQ","Unf",468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,3,6,"Typ",0,"Detchd",2,576,"TA","Y",6,2008,159000
20,"RL",7560,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",4,"TA","CBlock",4,"TA","LwQ","Unf",525,1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,4,6,"Min1",0,"Attchd",1,294,"TA","Y",5,2009,139000
60,"RL",14215,"IR1","Lvl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",1,"TA","Unf","Unf",1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,3,9,"Typ",1,"BuiltIn",3,853,"TA","Y",11,2006,325300
45,"RM",7449,"Reg","Bnk","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","PConc",4,"TA","Unf","Unf",637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,3,6,"Typ",1,"Attchd",1,280,"TA","N",6,2007,139400
20,"RL",9742,"Reg","Lvl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",3,"TA","PConc",3,"TA","Unf","Unf",1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,3,7,"Typ",1,"Attchd",2,534,"TA","Y",9,2008,230000
120,"RM",4224,"Reg","Lvl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",4,"TA","PConc",3,"TA","GLQ","Unf",200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,4,6,"Typ",1,"Attchd",2,572,"TA","Y",6,2007,129900
20,"RL",8246,"IR1","Lvl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",4,"Gd","CBlock",4,"TA","Rec","ALQ",204,1060,"GasA","Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,3,6,"Typ",1,"Attchd",1,270,"TA","Y",5,2010,154000
20,"RL",14230,"Reg","Lvl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",3,"TA","Unf","Unf",1566,1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,3,7,"Typ",1,"Attchd",3,890,"TA","Y",7,2009,256300
20,"RL",7200,"Reg","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",4,"TA","CBlock",4,"TA","BLQ","Rec",180,900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,3,5,"Typ",0,"Detchd",2,576,"TA","Y",5,2010,134800
20,"RL",11478,"Reg","Lvl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",3,"TA","PConc",1,"TA","GLQ","Unf",486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,3,7,"Typ",1,"Attchd",3,772,"TA","Y",5,2010,306000
20,"RL",16321,"IR1","Lvl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","CBlock",4,"TA","BLQ","Unf",207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,4,6,"Typ",2,"Attchd",1,319,"TA","Y",12,2006,207500
30,"RM",6324,"IR1","Lvl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",4,"TA","BrkTil",4,"TA","Unf","Unf",520,520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,2,4,"Typ",0,"Detchd",1,240,"Fa","Y",5,2008,68500
